club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,url
127,sc-paderborn-07,SC Paderborn 07,L1,,26,25.7,5,19.2,1,Home Deluxe Arena,15000,€-450k,null,2019,https://www.transfermarkt.co.uk/sc-paderborn-07/startseite/verein/127
192,roda-jc-kerkrade,Roda JC Kerkrade,NL1,,25,24.0,9,36.0,0,Parkstad Limburg Stadion,19979,+€1.30m,null,2017,https://www.transfermarkt.co.uk/roda-jc-kerkrade/startseite/verein/192
2239,us-cremonese,US Cremonese,IT1,,27,25.9,13,48.1,7,Giovanni Zini,16003,€-33.80m,null,2022,https://www.transfermarkt.co.uk/us-cremonese/startseite/verein/2239
2423,cd-santa-clara,CD Santa Clara,PO1,,31,25.9,20,64.5,2,Estádio de São Miguel,12500,+€5.85m,null,2022,https://www.transfermarkt.co.uk/cd-santa-clara/startseite/verein/2423
24245,umraniyespor,Ümraniyespor,TR1,,23,28.4,9,39.1,2,Ümraniye Belediyesi Şehir Stadı,3513,+-0,null,2022,https://www.transfermarkt.co.uk/umraniyespor/startseite/verein/24245
2553,kilmarnock-fc,Kilmarnock FC,SC1,,22,27.4,11,50.0,1,"BBSP Stadium, Rugby Park",18128,+-0,null,2022,https://www.transfermarkt.co.uk/kilmarnock-fc/startseite/verein/2553
26459,nk-veres-rivne,NK Veres Rivne,UKR1,,22,27.2,0,,0,Stadion Avangard (2022),10000,+€170k,null,2022,https://www.transfermarkt.co.uk/nk-veres-rivne/startseite/verein/26459
2671,pas-giannina,PAS Giannina,GR1,,31,25.4,14,45.2,0,Stadio Zosimades,7652,+€2.68m,null,2022,https://www.transfermarkt.co.uk/pas-giannina/startseite/verein/2671
2919,ac-monza,AC Monza,IT1,,30,26.9,9,30.0,4,U-Power Stadium - Brianteo,15039,€-46.48m,null,2022,https://www.transfermarkt.co.uk/ac-monza/startseite/verein/2919
3205,kayserispor,Kayserispor,TR1,,28,25.6,13,46.4,3,RHG Enertürk Enerji Stadyumu,32864,+€3.00m,null,2022,https://www.transfermarkt.co.uk/kayserispor/startseite/verein/3205
383,psv-eindhoven,PSV Eindhoven,NL1,,24,25.6,14,58.3,10,Philips Stadion,35000,+€83.75m,null,2022,https://www.transfermarkt.co.uk/psv-eindhoven/startseite/verein/383
3948,royale-union-saint-gilloise,Royale Union Saint Gilloise,BE1,,24,25.1,17,70.8,7,Stade Joseph Mariën,8000,+€9.72m,null,2022,https://www.transfermarkt.co.uk/royale-union-saint-gilloise/startseite/verein/3948
41274,beerschot-v-a-,Beerschot V.A.,BE1,,26,23.9,12,46.2,2,Olympisch Stadion,12771,+€395k,null,2021,https://www.transfermarkt.co.uk/beerschot-v-a-/startseite/verein/41274
475,vv-st-truiden,Sint-Truidense VV,BE1,,23,26.4,15,65.2,3,Stayen,14600,+€8.00m,null,2022,https://www.transfermarkt.co.uk/vv-st-truiden/startseite/verein/475
48726,rukh-lviv,Rukh Lviv,UKR1,,27,23.0,6,22.2,0,Arena Lviv,34512,+€50k,null,2022,https://www.transfermarkt.co.uk/rukh-lviv/startseite/verein/48726
498,ksc-lokeren,KSC Lokeren (- 2020),BE1,,0,,0,,0,Daknamstadion,12000,+-0,null,2018,https://www.transfermarkt.co.uk/ksc-lokeren/startseite/verein/498
5358,sd-huesca,SD Huesca,ES1,,24,27.5,8,33.3,2,El Alcoraz,9128,+€1.43m,null,2020,https://www.transfermarkt.co.uk/sd-huesca/startseite/verein/5358
553,ionikos-nikeas,Ionikos Nikeas,GR1,,27,28.7,16,59.3,1,Dimotiko Gipedo Neapolis,6000,+-0,null,2022,https://www.transfermarkt.co.uk/ionikos-nikeas/startseite/verein/553
60,sc-freiburg,SC Freiburg,L1,,26,26.3,10,38.5,10,Europa-Park Stadion,34700,+€5.43m,null,2022,https://www.transfermarkt.co.uk/sc-freiburg/startseite/verein/60
603,cardiff-city,Cardiff City,GB1,,28,25.5,24,85.7,8,Cardiff City Stadium,33280,€-655k,null,2018,https://www.transfermarkt.co.uk/cardiff-city/startseite/verein/603
607,venezia-fc,Venezia FC,IT1,,27,25.6,17,63.0,5,Pier Luigi Penzo,11150,+€4.83m,null,2021,https://www.transfermarkt.co.uk/venezia-fc/startseite/verein/607
6574,us-sassuolo,US Sassuolo,IT1,,26,26.0,15,57.7,8,Mapei Stadium - Città del Tricolore,21584,+€21.56m,null,2022,https://www.transfermarkt.co.uk/us-sassuolo/startseite/verein/6574
6646,fatih-karagumruk,Fatih Karagümrük,TR1,,30,26.3,17,56.7,4,Atatürk Olimpiyat,74753,+€1.83m,null,2022,https://www.transfermarkt.co.uk/fatih-karagumruk/startseite/verein/6646
667,rc-strassburg-alsace,RC Strasbourg Alsace,FR1,,26,26.6,11,42.3,8,Stade de la Meinau,29000,+€3.90m,null,2022,https://www.transfermarkt.co.uk/rc-strassburg-alsace/startseite/verein/667
855,ea-guingamp,EA Guingamp,FR1,,27,25.4,7,25.9,1,Stade du Roudourou,18120,+€3.70m,null,2018,https://www.transfermarkt.co.uk/ea-guingamp/startseite/verein/855
8838,zirka-kropyvnytskyi,Zirka Kropyvnytskyi,UKR1,,7,27.4,0,,0,Zirka,14628,+-0,null,2017,https://www.transfermarkt.co.uk/zirka-kropyvnytskyi/startseite/verein/8838
897,deportivo-la-coruna,Deportivo de La Coruña,ES1,,24,27.7,3,12.5,0,Abanca Riazor,32912,€-435k,null,2017,https://www.transfermarkt.co.uk/deportivo-la-coruna/startseite/verein/897
1039,queens-park-rangers,Queens Park Rangers,GB1,,26,25.9,15,57.7,8,Loftus Road Stadium,18360,+€900k,null,2014,https://www.transfermarkt.co.uk/queens-park-rangers/startseite/verein/1039
1084,fc-malaga,Málaga CF,ES1,,27,27.9,8,29.6,0,La Rosaleda,30044,+€950k,null,2017,https://www.transfermarkt.co.uk/fc-malaga/startseite/verein/1084
1162,sm-caen,SM Caen,FR1,,27,25.7,12,44.4,4,Stade Michel-d'Ornano,20500,+€3.05m,null,2018,https://www.transfermarkt.co.uk/sm-caen/startseite/verein/1162
12438,volga-nizhniy-novgorod,Volga Nizhniy Novgorod (- 2016),RU1,,0,,0,,0,Zentralstadion Lokomotiv,17856,+-0,null,2013,https://www.transfermarkt.co.uk/volga-nizhniy-novgorod/startseite/verein/12438
1506,kardemir-karabukspor,Kardemir Karabükspor,TR1,,0,,0,,0,Dr. Necmettin Şeyhoğlu,12400,+-0,null,2017,https://www.transfermarkt.co.uk/kardemir-karabukspor/startseite/verein/1506
157,kaa-gent,KAA Gent,BE1,,25,26.2,12,48.0,5,Ghelamco Arena,19999,€-2.45m,null,2022,https://www.transfermarkt.co.uk/kaa-gent/startseite/verein/157
16239,desna-chernigiv,Desna Chernigiv,UKR1,,0,,0,,0,Stadion im. Yuriya Gagarina,12060,+-0,null,2021,https://www.transfermarkt.co.uk/desna-chernigiv/startseite/verein/16239
200,fc-utrecht,FC Utrecht,NL1,,30,25.8,13,43.3,5,"Stadion ""Galgenwaard""",23750,+€8.80m,null,2022,https://www.transfermarkt.co.uk/fc-utrecht/startseite/verein/200
2293,konyaspor,Konyaspor,TR1,,29,26.8,15,51.7,7,Medaş Konya Büyükşehir Stadyumu,42000,+€6.56m,null,2022,https://www.transfermarkt.co.uk/konyaspor/startseite/verein/2293
2457,belenenses-sad,B SAD,PO1,,25,24.2,13,52.0,4,Estádio Nacional do Jamor,37593,+€1.80m,null,2021,https://www.transfermarkt.co.uk/belenenses-sad/startseite/verein/2457
2503,boavista-porto-fc,Boavista FC,PO1,,28,25.6,16,57.1,7,Estádio do Bessa Sec. XXI,28263,+€12.25m,null,2022,https://www.transfermarkt.co.uk/boavista-porto-fc/startseite/verein/2503
2578,st-johnstone-fc,St. Johnstone FC,SC1,,27,27.9,11,40.7,3,McDiarmid Park,10696,+-0,null,2022,https://www.transfermarkt.co.uk/st-johnstone-fc/startseite/verein/2578
2687,fc-cadiz,Cádiz CF,ES1,,29,29.1,9,31.0,4,Nuevo Mirandilla,21094,€-8.50m,null,2022,https://www.transfermarkt.co.uk/fc-cadiz/startseite/verein/2687
